unique_identifier,listing_amount,amount_funded,lender_yield,borrower_apr,listing_term,listing_monthly_payment,income_range,income_range_description,stated_monthly_income,employment_status_description,occupation,months_employed,borrower_state,borrower_city,prior_prosper_loans,prior_prosper_loans_principal_borrowed,prior_prosper_loans_principal_outstanding,prior_prosper_loans_balance_outstanding,prior_prosper_loans_cycles_billed,prior_prosper_loans_ontime_payments,prior_prosper_loans_late_cycles,prior_prosper_loan_earliest_pay_off,lender_indicator,group_indicator,TUFicoRange,dti_wprosper_loan,CoBorrowerApplication,CombinedDtiwProsperLoan,CombinedStatedMonthlyIncome,prosper_rating
623,35000,35000,0.0969,0.1294,60,755.59,5,"$75,000-99,999",6250,Employed,Other,157,NY,Jamaica,2,35500,0,0,1,1,0,12,0,FALSE,780-799,0.2254,TRUE,0.2254,11666.6667,AA
624,35000,35000,0.1089,0.1417,60,776.61,5,"$75,000-99,999",6666.6667,Employed,Teacher,180,IL,WHEATON,2,45000,0,0,1,1,0,8,0,FALSE,740-759,0.1985,TRUE,0.1985,16250,A
625,25000,25000,0.0969,0.1294,60,539.7,6,"$100,000+",10151.3333,Employed,Other,1,TX,San Antonio,1,30000,0,0,0,0,0,28,0,FALSE,780-799,0.2439,TRUE,0.2439,16534.6667,AA
626,16000,16000,0.1379,0.1714,60,378.88,6,"$100,000+",8916.6667,Employed,Postal Service,191,DC,Washington,3,29000,0,0,0,0,0,6,0,FALSE,740-759,0.1374,TRUE,0.1374,24750,B
627,10000,10000,0.175,0.2225,36,364.04,5,"$75,000-99,999",7200,Employed,Computer Programmer,9,NM,LAS CRUCES,1,7500,0,0,0,0,0,29,0,FALSE,680-699,0.373,TRUE,0.373,13670.3333,C
628,15000,15000,0.1349,0.1683,60,352.85,5,"$75,000-99,999",8172.6667,Employed,Other,113,MD,Urbana,1,20000,0,0,1,1,0,49,0,FALSE,700-719,0.2183,TRUE,0.2183,16672.6667,B
629,35000,35000,0.0804,0.1258,36,1113.64,6,"$100,000+",13333.3333,Employed,Construction,358,NV,Spanish Springs,2,24000,0,0,6,6,0,18,0,FALSE,740-759,0.2759,TRUE,0.2759,19916.6667,AA
630,35000,35000,0.1379,0.1714,60,828.79,4,"$50,000-74,999",5000,Employed,Professor,16,VA,Suffolk,1,12000,0,0,0,0,0,23,0,FALSE,720-739,0.1857,TRUE,0.1857,14666.6667,B
631,15000,15000,0.195,0.2429,36,561.28,3,"$25,000-49,999",3000,Employed,Sales - Retail,126,TX,Katy,1,5500,0,0,0,0,0,13,0,FALSE,680-699,0.37,TRUE,0.37,11000,C
632,13000,13000,0.0804,0.1258,36,413.64,5,"$75,000-99,999",7500,Employed,Other,6,FL,Miramar,1,7000,0,0,0,0,0,20,0,FALSE,760-779,0.0878,TRUE,0.0878,20416.6667,AA
633,25000,25000,0.2064,0.2546,36,950.11,4,"$50,000-74,999",4750,Employed,Postal Service,35,TX,McAllen,1,20000,0,0,0,0,0,16,0,FALSE,720-739,0.5508,TRUE,0.5508,7950,C
634,15000,15000,0.0929,0.1254,60,320.85,4,"$50,000-74,999",5875,Employed,Nurse (RN),407,MO,EVERTON,2,30000,0,0,0,0,0,6,0,FALSE,760-779,0.1721,TRUE,0.1721,8458.3333,A
635,18698,18698,0.1379,0.1714,60,442.77,3,"$25,000-49,999",3544,Employed,Clerical,6,CA,Santa Maria,2,8000,0,0,1,1,0,2,0,FALSE,720-739,0.1594,TRUE,0.1594,7036,B
