unique_identifier,listing_amount,amount_funded,lender_yield,borrower_apr,listing_term,listing_monthly_payment,income_range,income_range_description,stated_monthly_income,employment_status,employment_status_description,occupation,months_employed,borrower_state_num,borrower_state,borrower_city,prior_prosper_loans,prior_prosper_loans_principal_borrowed,prior_prosper_loans_principal_outstanding,prior_prosper_loans_balance_outstanding,prior_prosper_loans_cycles_billed,prior_prosper_loans_ontime_payments,prior_prosper_loans_late_cycles,prior_prosper_loan_earliest_pay_off,lender_indicator,group_indicator,Fico_rating,TUFicoRange,dti_wprosper_loan,CoBorrowerApplication,CombinedDtiwProsperLoan,CombinedStatedMonthlyIncome,rating_num,prosper_rating
27,10000,10000,0.0929,0.1254,60,213.9,3,"$25,000-49,999",3416.6667,2,Other,Accountant/CPA,210,34,OR,PORTLAND,1,4000,0,0,37,3,68,17,0,FALSE,4,720-739,0.2284,TRUE,0.2284,5265.6667,0,A
28,11700,11700,0.0974,0.1431,36,381.6,4,"$50,000-74,999",4333.3333,2,Other,Clerical,192,4,CA,FAIRFIELD,1,15000,0,0,1,1,0,15,0,FALSE,4,720-739,0.3345,TRUE,0.3345,5564.8333,0,A
29,7000,7000,0.1003,0.1461,36,229.27,3,"$25,000-49,999",3333.3333,0,Employed,Construction,50,11,ID,Sagle,2,12000,1662.68,0,0,0,0,28,0,FALSE,5,740-759,0.2721,TRUE,0.2721,15833.3333,0,A
30,13000,13000,0.1349,0.1815,36,447.41,3,"$25,000-49,999",2166.6667,2,Other,Tradesman - Mechanic,40,39,TN,Maynardville,3,17000,4673.71,0,15,15,0,9,0,FALSE,6,760-779,0.2665,TRUE,0.2665,4583.3333,1,B
31,2000,2000,0.0804,0.1258,36,63.64,3,"$25,000-49,999",3833.3333,2,Other,Construction,167,4,CA,MORGAN HILL,1,6000,0,0,1,1,0,34,0,FALSE,6,760-779,0.0837,TRUE,0.0837,7166.6667,0,AA
32,35000,35000,0.1489,0.1958,36,1228.6,6,"$100,000+",8798.3333,0,Employed,Teacher,308,40,TX,HORIZON CITY,1,30000,0,0,0,0,0,7,0,FALSE,2,680-699,0.312,TRUE,0.312,14145.25,1,B
33,15500,15500,0.1064,0.1524,36,512.16,5,"$75,000-99,999",6250,0,Employed,Military Enlisted,76,3,AZ,Tucson,1,5000,0,0,0,0,0,8,0,FALSE,5,740-759,0.4423,TRUE,0.4423,12500,0,A
34,15000,15000,0.1064,0.1524,36,495.64,4,"$50,000-74,999",5416.6667,0,Employed,Truck Driver,7,40,TX,Houston,1,10000,0,0,0,0,0,15,0,FALSE,4,720-739,0.09,TRUE,0.09,10833.3333,0,A
35,15000,15000,0.1279,0.1611,60,347.39,6,"$100,000+",10416.6667,0,Employed,Other,374,42,VA,Herndon,7,89200,12590.49,0,14,14,0,1,0,FALSE,3,700-719,0.2817,TRUE,0.2817,11742.6667,1,B
36,6500,6500,0.0804,0.1258,36,206.82,2,"$1-24,999",2000,2,Other,Engineer - Electrical,3,40,TX,Smithville,1,6000,0,0,0,0,0,20,0,FALSE,6,760-779,0.0429,TRUE,0.0429,4816.6667,0,AA
37,10000,10000,0.0954,0.1411,36,325.21,4,"$50,000-74,999",5416.6667,0,Employed,Other,182,12,IL,Rockford,2,11000,0,0,0,0,0,20,0,FALSE,8,800-819,0.2803,TRUE,0.2803,7916.6667,0,AA
38,20000,20000,0.0804,0.1258,36,636.37,6,"$100,000+",10416.6667,0,Employed,Professional,341,3,AZ,Phoenix,1,15000,0,0,0,0,0,14,0,FALSE,6,760-779,0.1834,TRUE,0.1834,22500,0,AA
39,25000,25000,0.0969,0.1294,60,539.7,6,"$100,000+",8333.3333,0,Employed,Analyst,183,26,NE,Omaha,3,49000,0,0,1,1,0,14,0,FALSE,5,740-759,0.1442,TRUE,0.1442,17500,0,AA
40,11000,11000,0.053,0.0795,36,336.14,3,"$25,000-49,999",2761.1667,0,Employed,Accountant/CPA,153,40,TX,GILMER,1,4000,0,0,1,1,0,28,0,FALSE,8,800-819,0.2234,TRUE,0.2234,12761.1667,0,AA
41,35000,35000,0.0969,0.1294,60,755.59,5,"$75,000-99,999",8125,0,Employed,Professor,149,41,UT,SALT LAKE CITY,25,225601,5141.57,0,0,0,0,9,1,FALSE,6,760-779,0.0607,TRUE,0.0607,12458.3333,0,AA
42,5000,5000,0.0804,0.1258,36,159.09,6,"$100,000+",10000,0,Employed,Truck Driver,84,4,CA,San Jose,3,27400,0,0,1,1,0,31,0,FALSE,4,720-739,0.1413,TRUE,0.1413,16708,0,AA
43,21000,21000,0.0969,0.1294,60,453.35,4,"$50,000-74,999",4506.6667,0,Employed,Other,76,22,MO,Imperial,1,18000,0,0,1,1,0,27,0,FALSE,6,760-779,0.2316,TRUE,0.2316,7886.6667,0,AA
44,26000,26000,0.1219,0.155,60,594.11,6,"$100,000+",8416.6667,0,Employed,Professional,153,39,TN,Murfreesboro,1,24000,0,0,0,0,0,3,0,FALSE,3,700-719,0.1136,TRUE,0.1136,11666.6667,1,B
45,8500,8500,0.0804,0.1258,36,270.46,5,"$75,000-99,999",7333.3333,0,Employed,Professional,42,41,UT,Eagle Mountain,1,15000,0,0,0,0,0,26,1,FALSE,5,740-759,0.167,TRUE,0.167,8333.3333,0,AA
46,3500,3500,0.053,0.0794,36,106.95,4,"$50,000-74,999",4583.3333,0,Employed,Other,62,13,IN,ANDERSON,2,41100,0,0,1,1,0,3,0,FALSE,7,780-799,0.0974,TRUE,0.0974,11750,0,AA
47,40000,40000,0.053,0.0795,36,1222.32,6,"$100,000+",48065.25,0,Employed,Executive,98,4,CA,Lafayette,1,25000,0,0,1,1,0,27,0,FALSE,7,780-799,0.1886,TRUE,0.1886,77540.9167,0,AA
48,15775,15775,0.0974,0.1432,36,514.51,4,"$50,000-74,999",5416.6667,0,Employed,Construction,256,7,DE,Felton,2,30000,2444.85,0,0,0,0,5,0,FALSE,3,700-719,0.4287,TRUE,0.4287,12523.3333,0,A
49,35000,35000,0.0969,0.1294,60,755.59,4,"$50,000-74,999",5833.3333,0,Employed,Other,22,42,VA,Virginia Beach,1,20000,0,0,1,1,0,27,0,FALSE,7,780-799,0.2706,TRUE,0.2706,11666.6667,0,AA
50,24000,24000,0.1249,0.1713,36,814.33,6,"$100,000+",10416.6667,0,Employed,Executive,89,5,CO,Loveland,1,20000,0,0,0,0,0,32,0,FALSE,1,660-679,0.0929,TRUE,0.0929,31250,1,B
51,17857,17857,0.1219,0.1682,36,603.31,6,"$100,000+",10000,0,Employed,Professional,15,4,CA,Los Angeles,2,19500,0,0,2,2,0,10,0,FALSE,3,700-719,0.179,TRUE,0.179,24166.6667,1,B
52,11600,11600,0.0804,0.1258,36,369.09,6,"$100,000+",12083.3333,0,Employed,Police Officer/Correction Officer,205,30,NV,Henderson,2,38800,23357.72,0,0,0,0,11,0,FALSE,6,760-779,0.3003,TRUE,0.3003,16250,0,AA
53,2500,2500,0.1089,0.1417,60,55.47,5,"$75,000-99,999",8083.3333,0,Employed,Computer Programmer,219,2,AR,Sherwood,1,31000,0,0,0,0,0,16,0,FALSE,4,720-739,0.2369,TRUE,0.2369,12666.6667,0,A
54,25000,25000,0.1628,0.1969,60,625.08,6,"$100,000+",12500,0,Employed,Other,69,25,NC,Lexington,1,20000,0,0,0,0,0,18,0,FALSE,4,720-739,0.204,TRUE,0.204,17083.3333,1,C
55,5000,5000,0.1003,0.1461,36,163.76,6,"$100,000+",10000,0,Employed,Other,495,4,CA,Glendora,2,15000,0,0,0,0,0,22,0,FALSE,5,740-759,0.0556,TRUE,0.0556,16416.6667,0,A
56,35000,35000,0.0929,0.1254,60,748.65,6,"$100,000+",8333.3333,0,Employed,Professional,51,5,CO,DURANGO,2,41500,0,0,0,0,0,4,0,FALSE,6,760-779,0.1748,TRUE,0.1748,15000,0,A
57,35000,35000,0.1898,0.2376,36,1300.37,6,"$100,000+",9750,0,Employed,Retail Management,18,28,NJ,ELIZABETH,2,60000,0,0,0,0,0,7,0,FALSE,4,720-739,0.3557,TRUE,0.3557,14916.6667,1,C
58,15000,15000,0.1115,0.1444,60,334.8,3,"$25,000-49,999",2720,0,Employed,Other,10,9,GA,Lawrenceville,1,5000,0,0,0,0,0,31,0,FALSE,6,760-779,0.129,TRUE,0.129,6882.6667,0,A
59,15000,15000,0.053,0.0795,36,458.37,6,"$100,000+",13005.4167,0,Employed,Accountant/CPA,26,24,MT,Bozeman,1,15000,0,0,0,0,0,21,0,FALSE,8,800-819,0.15,TRUE,0.15,14891.75,0,AA
60,3000,3000,0.0999,0.1325,60,65.21,2,"$1-24,999",1448.0833,2,Other,Sales - Commission,38,26,NE,Omaha,1,4000,0,0,0,0,0,29,0,FALSE,5,740-759,0.3412,TRUE,0.3412,2424.1667,0,A
61,18000,18000,0.053,0.0795,36,550.04,4,"$50,000-74,999",5000,0,Employed,Other,15,28,NJ,North Bergen,1,15000,0,0,1,1,0,53,0,FALSE,8,800-819,0.124,TRUE,0.124,19166.6667,0,AA
62,25000,25000,0.053,0.0795,36,763.95,4,"$50,000-74,999",5000,0,Employed,Truck Driver,44,5,CO,LAKEWOOD,1,6000,0,0,1,1,0,28,0,FALSE,7,780-799,0.2807,TRUE,0.2807,7083.3333,0,AA
63,25000,25000,0.1628,0.1968,60,625.08,6,"$100,000+",8333.3333,0,Employed,Other,161,40,TX,Fort Worth,1,6000,0,0,0,0,0,7,0,FALSE,4,720-739,0.3945,TRUE,0.3945,10833.3333,1,C
64,12000,12000,0.2475,0.2837,60,357.51,4,"$50,000-74,999",5812.5,0,Employed,Teacher,46,2,AR,Royal,3,62000,0,0,1,1,0,3,0,FALSE,2,680-699,0.0588,TRUE,0.0588,10479.1667,2,D
65,15000,15000,0.0999,0.1325,60,326.06,6,"$100,000+",11266.6667,0,Employed,Computer Programmer,88,25,NC,Holly Springs,2,35000,0,0,1,1,0,8,0,FALSE,8,800-819,0.2936,TRUE,0.2936,13100,0,A
66,35000,35000,0.0964,0.1422,36,1139.9,6,"$100,000+",8833.3333,0,Employed,Executive,396,8,FL,Plant City,1,11600,0,0,0,0,0,13,0,FALSE,4,720-739,0.3201,TRUE,0.3201,13500,0,A
67,30000,30000,0.1034,0.1493,36,987,4,"$50,000-74,999",4166.6667,0,Employed,Other,16,17,MA,Winthrop,1,20000,0,0,1,1,0,20,0,FALSE,8,800-819,0.1811,TRUE,0.1811,12500,0,A
68,11000,11000,0.0969,0.1294,60,237.47,5,"$75,000-99,999",7583.3333,0,Employed,Social Worker,19,9,GA,Marietta,1,20000,0,0,0,0,0,59,0,FALSE,5,740-759,0.1143,TRUE,0.1143,15991.6667,0,AA
69,20000,20000,0.1834,0.218,60,522.56,5,"$75,000-99,999",6666.6667,0,Employed,Laborer,136,20,MI,Warren,1,5000,0,0,0,0,0,7,0,FALSE,3,700-719,0.2206,TRUE,0.2206,11250,1,C
70,35000,35000,0.1564,0.2034,36,1241.58,6,"$100,000+",9696.1667,0,Employed,Police Officer/Correction Officer,152,9,GA,Cumming,1,30000,0,0,0,0,0,23,0,FALSE,3,700-719,0.3845,TRUE,0.3845,15189.25,1,C
71,8000,8000,0.2664,0.3031,60,247.35,4,"$50,000-74,999",5000,0,Employed,Executive,3,8,FL,Port St Lucie,1,11000,0,0,0,0,0,13,0,FALSE,0,640-659,0.1267,TRUE,0.1267,11958.3333,2,D
72,19800,19800,0.0969,0.1294,60,427.45,4,"$50,000-74,999",4750,0,Employed,Tradesman - Mechanic,49,14,KS,Lawrence,4,36600,6704.49,0,0,0,0,9,0,FALSE,4,720-739,0.1355,TRUE,0.1355,11416.6667,0,AA
73,35000,35000,0.154,0.1878,60,858.59,4,"$50,000-74,999",5416.6667,0,Employed,Other,125,8,FL,CORAL SPRINGS,1,15000,0,0,1,1,0,24,0,FALSE,8,800-819,0.1506,TRUE,0.1506,10083.3333,1,C
74,12000,12000,0.1349,0.1683,60,282.28,6,"$100,000+",15000,0,Employed,Executive,187,22,MO,Bloomsdale,3,74400,11018.52,0,12,12,0,19,0,FALSE,2,680-699,0.2662,TRUE,0.2662,17500,1,B
75,28500,28500,0.0909,0.1233,60,606.8,4,"$50,000-74,999",5333.3333,0,Employed,Retail Management,215,8,FL,LAUDERDALE HILL,2,15000,6447.19,0,0,0,0,31,0,FALSE,7,780-799,0.1091,TRUE,0.1091,13083.3333,0,A
76,5000,5000,0.1489,0.1958,36,175.51,3,"$25,000-49,999",3333.3333,0,Employed,Other,62,22,MO,Liberty,2,25000,0,0,0,0,0,9,0,FALSE,4,720-739,0.2845,TRUE,0.2845,13333.3333,1,B
77,15000,15000,0.1349,0.1683,60,352.85,6,"$100,000+",13750,0,Employed,Analyst,230,34,OR,TRAIL,1,25000,0,0,0,0,0,29,0,FALSE,4,720-739,0.3471,TRUE,0.3471,16508.3333,1,B
78,10000,10000,0.1115,0.1444,60,223.2,6,"$100,000+",8333.3333,2,Other,Executive,40,40,TX,Maud,1,5000,0,0,0,0,0,5,0,FALSE,7,780-799,0.028,TRUE,0.028,16666.6667,0,A
79,20000,20000,0.1279,0.1611,60,463.19,3,"$25,000-49,999",3000,0,Employed,Other,69,4,CA,CATHEDRAL CITY,1,15000,0,0,1,1,0,51,0,FALSE,4,720-739,0.4844,TRUE,0.4844,5916.6667,1,B
80,8000,8000,0.235,0.2709,60,232.47,4,"$50,000-74,999",4583.3333,0,Employed,Other,2,23,MS,Hattiesburg,1,4000,0,0,0,0,0,1,0,FALSE,2,680-699,0.2374,TRUE,0.2374,8500,2,D
81,30000,30000,0.1059,0.1386,60,661.13,4,"$50,000-74,999",5366.6667,0,Employed,Other,51,32,OH,Milford,1,21700,0,0,0,0,0,14,0,FALSE,8,800-819,0.1855,TRUE,0.1855,14533.3333,0,A
82,30000,30000,0.0969,0.1294,60,647.64,6,"$100,000+",9583.3333,0,Employed,Police Officer/Correction Officer,109,4,CA,Woodland,2,15000,0,0,0,0,0,1,0,FALSE,5,740-759,0.2106,TRUE,0.2106,18333.3333,0,A
83,29500,29500,0.1564,0.1903,60,727.45,4,"$50,000-74,999",4750,0,Employed,Food Service Management,10,42,VA,LEESBURG,2,37000,0,0,0,0,0,15,0,FALSE,4,720-739,0.1841,TRUE,0.1841,9250,1,C
84,6000,6000,0.0969,0.1426,36,195.55,5,"$75,000-99,999",7500,0,Employed,Construction,88,18,MD,Millersville,2,18000,0,0,0,0,0,14,0,FALSE,4,720-739,0.0653,TRUE,0.0653,11106.6667,0,A
85,13000,13000,0.1249,0.1713,36,441.1,4,"$50,000-74,999",4780.5,0,Employed,Tradesman - Carpenter,106,14,KS,WELLSVILLE,1,5000,0,0,1,1,0,20,0,FALSE,6,760-779,0.0768,TRUE,0.0768,8247.1667,1,B
86,15000,15000,0.0954,0.1411,36,487.82,4,"$50,000-74,999",5500,0,Employed,Truck Driver,52,4,CA,Bakersfield,1,16000,0,0,6,6,0,26,0,FALSE,4,720-739,0.2427,TRUE,0.2427,17973.3333,0,AA
87,32000,32000,0.1249,0.1713,36,1085.77,5,"$75,000-99,999",6875,0,Employed,Nurse (RN),43,3,AZ,Phoenix,1,35000,0,0,0,0,0,16,0,FALSE,5,740-759,0.3837,TRUE,0.3837,13250,1,B
88,15000,15000,0.2764,0.3263,36,625.65,4,"$50,000-74,999",4583.3333,0,Employed,Laborer,91,9,GA,DACULA,1,9000,0,0,0,0,0,26,0,FALSE,1,660-679,0.2621,TRUE,0.2621,10583.3333,2,D
89,6000,6000,0.1003,0.1461,36,196.52,5,"$75,000-99,999",7997.9167,0,Employed,Skilled Labor,20,9,GA,Valdosta,1,4000,0,0,0,0,0,24,0,FALSE,5,740-759,0.0871,TRUE,0.0871,10372.9167,0,A
90,12500,12500,0.1219,0.155,60,285.63,4,"$50,000-74,999",5750,0,Employed,Clergy,50,15,KY,Ashland,2,20000,157.35,0,0,0,0,20,0,FALSE,6,760-779,0.4186,TRUE,0.4186,8250,1,B
91,9000,9000,0.1249,0.1581,60,207.04,4,"$50,000-74,999",4833.3333,0,Employed,Nurse (LPN),126,11,ID,Nampa,2,26000,0,0,0,0,0,4,0,FALSE,8,800-819,0.5243,TRUE,0.5243,6362.3333,1,B
92,6000,6000,0.1564,0.2035,36,212.84,6,"$100,000+",8784.5833,0,Employed,Other,54,40,TX,Katy,2,18000,8588.98,0,0,0,0,0,0,FALSE,0,640-659,0.2109,TRUE,0.2109,11951.25,1,C
93,16000,16000,0.1179,0.1509,60,362.33,6,"$100,000+",15416.6667,0,Employed,Professional,267,41,UT,Kaysville,2,40000,0,0,0,0,0,4,0,FALSE,1,660-679,0.1618,TRUE,0.1618,20833.3333,1,B
94,20000,20000,0.0929,0.1254,60,427.8,6,"$100,000+",12916.6667,0,Employed,Scientist,188,18,MD,MONROVIA,1,19385,0,0,0,0,0,54,0,FALSE,5,740-759,0.1638,TRUE,0.1638,17916.6667,0,A
95,20900,20900,0.2129,0.2482,60,580.69,5,"$75,000-99,999",6666.6667,0,Employed,Administrative Assistant,34,13,IN,GREENCASTLE,2,25500,13822.79,0,0,0,0,6,0,FALSE,0,640-659,0.2318,TRUE,0.2318,10000,1,C
96,30000,30000,0.0969,0.1294,60,647.64,4,"$50,000-74,999",5666.6667,0,Employed,Teacher,23,12,IL,Glen Ellyn,1,20000,0,0,1,1,0,10,0,FALSE,8,800-819,0.0649,TRUE,0.0649,39000,0,AA
97,26500,26500,0.053,0.0795,36,809.79,5,"$75,000-99,999",8166.6667,0,Employed,Sales - Retail,248,4,CA,Lancaster,3,37000,0,0,0,0,0,10,0,FALSE,8,800-819,0.22,TRUE,0.22,12166.6667,0,AA
98,15000,15000,0.0804,0.1258,36,477.28,4,"$50,000-74,999",5471,0,Employed,Other,78,20,MI,Bronson,1,6000,0,0,1,1,0,26,0,FALSE,4,720-739,0.1748,TRUE,0.1748,9724.1667,0,AA
99,10000,10000,0.1034,0.1493,36,329,6,"$100,000+",8358.3333,0,Employed,Professional,22,21,MN,Esko,1,8500,0,0,1,1,0,14,0,FALSE,2,680-699,0.222,TRUE,0.222,14858.3333,0,A
100,20000,20000,0.1279,0.1611,60,463.19,4,"$50,000-74,999",5166.6667,0,Employed,Professional,15,44,WI,Greenville,2,23000,6176.21,0,1,1,0,45,0,FALSE,5,740-759,0.2416,TRUE,0.2416,8333.3333,1,B
101,20000,20000,0.0969,0.1294,60,431.76,5,"$75,000-99,999",6250,0,Employed,Other,179,12,IL,Waterloo,2,10897.15,0,0,27,26,1,22,0,FALSE,7,780-799,0.1177,TRUE,0.1177,12500,0,AA
102,15000,15000,0.0959,0.1416,36,488.17,6,"$100,000+",12500,0,Employed,Analyst,281,40,TX,Lucas,2,50000,18450.02,0,10,10,0,28,0,FALSE,3,700-719,0.2601,TRUE,0.2601,12916.6667,0,A
103,29500,29500,0.0969,0.1294,60,636.85,3,"$25,000-49,999",3000,0,Employed,Clerical,86,37,SC,Seneca,1,11400,0,0,0,0,0,2,0,FALSE,7,780-799,0.149,TRUE,0.149,10500,0,AA
104,25000,25000,0.1379,0.1846,36,864.06,6,"$100,000+",14166.6667,0,Employed,Executive,79,32,OH,Springfield,2,41000,0,0,0,0,0,16,0,FALSE,1,660-679,0.3323,TRUE,0.3323,17083.3333,1,B
105,30000,30000,0.0969,0.1294,60,647.64,6,"$100,000+",9166.6667,0,Employed,Professional,290,5,CO,Parker,3,60000,0,0,0,0,0,3,0,FALSE,6,760-779,0.1966,TRUE,0.1966,18500,0,AA
106,20000,20000,0.0969,0.1294,60,431.76,5,"$75,000-99,999",7500,1,Self-employed,Professional,44,25,NC,Youngsville,1,10000,0,0,1,1,0,7,0,FALSE,4,720-739,0.12,TRUE,0.12,16666.6667,0,A
107,11500,11500,0.1349,0.1815,36,395.79,6,"$100,000+",11275,0,Employed,Executive,21,9,GA,Alpharetta,4,59500,23419.85,0,2,2,0,8,0,FALSE,2,680-699,0.4975,TRUE,0.4975,12861,1,B
108,12000,12000,0.154,0.201,36,424.26,4,"$50,000-74,999",4166.6667,0,Employed,Professional,61,35,PA,Reading,3,13800,0,0,0,0,0,4,0,FALSE,3,700-719,0.2206,TRUE,0.2206,7916.6667,1,C
109,5800,5800,0.0969,0.1294,60,125.21,4,"$50,000-74,999",5283.3333,0,Employed,Retail Management,61,21,MN,WOODBURY,1,8500,0,0,0,0,0,6,0,FALSE,6,760-779,0.249,TRUE,0.249,7908.3333,0,AA
110,23000,23000,0.0804,0.1258,36,731.82,4,"$50,000-74,999",4166.6667,0,Employed,Other,72,3,AZ,San Tan Valley,1,18000,0,0,0,0,0,23,0,FALSE,5,740-759,0.1641,TRUE,0.1641,6666.6667,0,AA
